l_neighborhood,deal_price,area_size,meter_price,lng,lat,uuid,rs_score
rd,1925000,630.0,3056,46.7713502,24.7439122,1ef8421c-fd31-44c8-b5f7-c42a11ced9ca,0.2041
rd,3200000,750.0,4267,46.7678294,24.723019,effe9840-26c2-4538-b805-162f63f570e7,0.1396
nr,1341000,300.0,4470,46.6554719,24.8495771,9037e979-f0d8-41d2-84f2-6c7c9663a76e,0.7522
ml,7000000,1050.0,6667,46.6144429,24.8142701,8358c770-14ad-4403-8a4f-f3e71930cca4,0.7949
ml,7000000,808.5,8658,46.6079257,24.799838,3af59efe-9ebb-4768-aab0-ed724646e8bf,0.7814
nr,2620800,546.0,4800,46.6542559,24.8876199,628a2183-5a0d-4642-aa93-fde3e89bdabd,0.6421
nr,964000,450.0,2142,46.6621981,24.854877,5e4c459a-4be0-475f-b02f-1536e09b94d6,0.7649
ml,4212000,540.0,7800,46.595004,24.7934029,aa4ba7b7-710a-4806-99ce-e98f957e1a76,0.7503
nr,1621191,379.67,4270,46.653699,24.8473296,ed0abf5f-353e-4627-a2be-f43a79a7fa6d,0.7508
nr,17120298,4389.82,3900,46.6528024,24.8768796,715dc8d5-aaee-4a1a-ba21-f8db69a04ca0,0.696
nr,9108000,1980.0,4600,46.6309977,24.9033576,6caad6a7-f0a4-4f55-bccf-ff5b1819bba9,0.557
rd,4000000,570.0,7018,46.7552301,24.7398425,b042dae7-2517-4796-b1f5-ec9cf47605c7,0.2814
ml,1100000,440.13,2499,46.6240643,24.8039239,805b4435-5559-4274-94c1-b11c423c6b84,0.8006
ml,8999920,1170.0,7692,46.6185703,24.8122779,2fa7554c-0bcb-4125-add5-74b57429cae4,0.7924
rd,2310000,700.0,3300,46.7653293,24.7243908,0528362e-f32f-411b-b09e-eeb72467419f,0.1587
shf,1200000,825.0,1455,46.7062438,24.5655002,8d58c3ff-535b-47cb-a007-354bc756f848,0.7315
ml,14700000,1050.0,14000,46.5936918,24.8174151,eaae9e2f-e585-421f-95c0-758091f32322,0.784
nr,4059000,990.0,4100,46.6544766,24.8662327,b24bd2df-714d-47bf-9258-8a20cb8b1f8c,0.7452
shf,575000,575.0,1000,46.6825159,24.5576413,26a9adbb-0e61-4194-a89a-7095701c622f,0.6981
shf,1150000,796.25,1444,46.6976661,24.5663807,b5ee70e9-e949-4926-b199-c1a2f77c1951,0.7297
ml,9782500,1505.0,6500,46.6029924,24.7890969,567458fd-5957-438e-9165-41542901e18e,0.7511
ml,18558800,2319.85,8000,46.6023222,24.789566,c746b7d1-e45b-40ca-bcb6-6cb3ca402b12,0.7507
nr,1365000,300.0,4550,46.6530161,24.8486831,e0ea6cef-3732-4fb1-aa39-b3e7dc48b196,0.7545
nr,1958196,337.62,5800,46.6811686,24.8207005,96c58648-c35e-4029-9688-53db556dc826,0.7802
shf,700000,416.0,1683,46.694808,24.5599477,1cc129b3-7ec7-42b9-913a-8d0e174bad2d,0.7093
rd,2250000,750.0,3000,46.7628478,24.7318606,34b41b74-62ad-420d-8b8b-23f6a832c819,0.2062
nr,1600000,405.0,3951,46.6622865,24.8790002,e8c7b00d-28d3-422c-bf7a-51744fd127a5,0.6798
shf,1250000,720.0,1736,46.6802704,24.5539036,aab77398-6b82-4343-8fe7-2de528ea94ea,0.6893
rd,305168,387.5,788,46.7770143,24.737267,1576d6c9-b524-4ebe-b4b7-a8fc354e05a9,0.1488
shf,225000,575.0,391,46.7105176,24.5769428,b43bf22e-c770-458b-bd91-f991337f8a7f,0.7118
shf,1000000,575.0,1739,46.6790851,24.5558826,18a78c89-f22b-49d7-9bb4-7cc2eceb4f30,0.6869
ml,2800000,400.0,7000,46.5891494,24.8145393,6cd56a91-4c8f-447d-a1b7-d439ddd8b57b,0.762
nr,3307200,624.0,5300,46.6724848,24.8286626,ce682238-e482-4736-a2c8-b4459fe31629,0.7842
shf,1700000,904.5,1879,46.7020802,24.5635997,c011e96a-303b-4379-a198-2756f89d1d2a,0.734
shf,5500000,2400.0,2292,46.7018495,24.5599485,34b281f3-a428-4b1e-ba65-e326598c50f5,0.7282
ml,2723400,400.5,6800,46.5942205,24.8055351,98c4554a-ed41-4b1d-ab74-7c49794db86a,0.7763
shf,890000,500.0,1780,46.6963742,24.5543274,86704fa6-fa37-456e-8556-0a6235034766,0.719
nr,2025000,450.0,4500,46.6636253,24.8696376,924db729-1180-411d-9252-ca3f446394e6,0.7239
ml,6333600,1170.0,5413,46.6190374,24.8124745,4945a14b-ebaa-40bf-8caa-aea62053ae04,0.7916
ml,5809512,699.28,8308,46.6077964,24.7937514,5f692209-82e7-479a-a0de-55f979ed3e6f,0.7736
ml,7700000,800.0,9625,46.5829635,24.7924334,bb691854-3a5e-4306-9ff6-cf8bd34fa2f6,0.7096
tn,2300000,310.5,7407,46.6977783,24.7665347,7c179156-b8c5-4156-996e-10b55db3e605,0.6857
ml,2653280,379.04,7000,46.5879369,24.8019357,7887c7a6-3d09-4c75-92c6-7d7358b77a5d,0.7411
nr,11523000,2505.0,4600,46.627393,24.9018463,b1253c16-533d-4156-bff2-838ce70e8919,0.5524
tn,3971875,775.0,5125,46.6907731,24.7750926,0fb5f0c1-390a-414d-bcc0-cdcedaf196cf,0.7217
nr,3000000,900.0,3333,46.6575951,24.870627,638591d6-988a-49c5-9fb1-641e063f65b0,0.7259
ml,119654560,29913.64,4000,46.6065119,24.7973197,ff230037-c0b7-4aa4-b37b-de8e7ef70ec0,0.7744
tn,4000000,750.0,5333,46.7099137,24.7699975,4477016a-aae0-4a7c-908a-58046f6206d5,0.6837
tn,722000,324.0,2228,46.6977785,24.7654549,3c1823a5-9ca4-441f-a43c-180a5433b70f,0.6859
shf,567492,650.0,873,46.6835789,24.5602935,69fd8f1e-5aa1-4759-92f2-71e0f272c3e5,0.7018
nr,9108000,1980.0,4600,46.6287312,24.9024074,58b6bcc5-9cce-4952-b663-94f0cbb10b02,0.554
shf,830000,450.0,1844,46.6888605,24.5655438,8219c2f6-0456-4b1f-8184-a233cf0d1730,0.7054
rd,2404000,400.0,6010,46.7640035,24.7235592,cb51d583-8a33-450f-9009-6cc2894c5048,0.1611
shf,990000,600.0,1650,46.7153929,24.576277,e4f4a8e0-16d0-42ef-a8ab-017ca8688cfb,0.6867
rd,1525000,450.0,3389,46.7596988,24.743914,718bf75e-a5bb-4c08-a357-7b5783455a29,0.2726
nr,9108000,1980.0,4600,46.6277598,24.9019994,2b31eaaf-3bd1-4508-911a-34662f8bc566,0.5527
rd,4300000,900.0,4778,46.7624894,24.7376143,459ded49-232d-4f35-b734-e450778d1a92,0.2326
tn,2562000,420.0,6100,46.6953765,24.767099,2e8ac581-4437-4978-8375-cc2f8c43a08d,0.6922
shf,1000000,408.0,2451,46.6871633,24.5631284,7f7f1e0a-7d93-435d-b13e-dcc8b2516849,0.7004
nr,3600000,900.0,4000,46.6684136,24.8614021,891f2cfe-5e90-4cd7-bec5-bcadfe03aef4,0.7518
nr,1750000,500.0,3500,46.6571314,24.8853694,007b087a-0325-4b80-8857-13e0b2f7fb51,0.6504
nr,2205000,450.0,4900,46.6587472,24.856953,031e2023-811b-4a05-a2fe-871260929fb9,0.7643
nr,3120000,624.0,5000,46.6740645,24.8255198,4effd588-a0b3-40ce-89e8-153c73604f9a,0.7777
nr,4095000,900.0,4550,46.6637589,24.8755517,a152c6c2-5360-4d2e-898a-7ddac9bed130,0.6978
rd,2400000,630.0,3810,46.7706855,24.7407207,43592c75-9d99-48d7-b536-90fbfc932415,0.1976
rd,4209000,701.5,6000,46.7656015,24.7309449,0b824969-291e-4f94-8537-e83a270e8306,0.1876
rd,880000,416.0,2115,46.7580768,24.7278027,0ae5006b-b0a2-4c5c-bedb-579a361d3d7c,0.2109
shf,2909267,3274.5,888,46.7028021,24.5641361,11a75c50-6ab2-4a1c-8676-6341e8435e9e,0.7325
nr,1760000,440.0,4000,46.6557378,24.8854319,8337e3da-1e08-4b21-a1b6-aa2f7fcbbd85,0.6526
ml,28275000,2827.5,10000,46.6043568,24.7919225,f66b314c-58e4-4e9c-aad5-6ecabb79c82c,0.7612
nr,52650000,8100.0,6500,46.6845938,24.8230013,0d743b07-51e2-442c-a006-18088fe4f21f,0.7939
ml,5687500,875.0,6500,46.6238531,24.8014352,31239307-45a7-40b8-8af2-da81b508c912,0.7879
tn,710000,337.5,2104,46.7010563,24.7659781,2b9aefa6-a0c4-4850-aef9-fffe173a9455,0.6812
shf,343496,562.5,611,46.6918185,24.5631656,ab9ab22c-2a9a-46bf-ad93-78922756a54c,0.7055
shf,700000,450.0,1556,46.6864054,24.5632134,df9778b2-a584-40ae-86f4-7bcb0814dbe9,0.7
nr,1341000,300.0,4470,46.6558813,24.8496888,760ee79b-2123-4b96-90f9-10e13d10d869,0.7533
rd,33660000,9900.0,3400,46.7734634,24.7353565,dcc3faab-feb0-464e-8f3f-aba0b57f82a6,0.1624
nr,1987500,375.0,5300,46.6799432,24.8234221,5284de18-dc08-4a62-977a-1caf60d9e999,0.7876
ml,800000,450.0,1778,46.6213183,24.7905949,064d4dcd-5657-4b83-808f-f884edad0566,0.7826
ml,3222222,1200.0,2685,46.6121597,24.8129987,990d6abb-29f5-4360-aab6-0b38f3e37a8b,0.8028
rd,2500000,625.0,4000,46.7747575,24.7461677,22000447-cac5-4c30-bfec-f890000d764b,0.1899
tn,1850000,324.0,5710,46.707458,24.7748549,3c908dda-0389-478b-8d15-fa7b41aaaad0,0.6996
nr,1551960,324.0,4790,46.6549548,24.8488123,328bfa2a-1936-44be-b9d0-30c45c79ad2c,0.7498
ml,1459819,540.0,2703,46.6083095,24.8076086,115c2f0e-1324-497f-b940-e62d2fb1f659,0.8014
ml,8500000,560.0,15179,46.613932,24.8012639,e84668a9-74ce-4f6f-90ec-53f06cf327f6,0.7896
ml,110597120,12480.0,8862,46.6123301,24.7955583,d5b3f8e9-bd89-4407-9650-f436dee8f8fb,0.7836
shf,2400000,600.0,4000,46.703967,24.5782687,f00c63f3-26b4-4026-8d9f-a8d35c6c1415,0.7312
ml,5040000,900.0,5600,46.6024069,24.8050504,5c686c00-e86d-4883-b839-39cb7c72f522,0.7963
rd,2500000,400.0,6250,46.7784257,24.7412332,7c02d7c1-e84f-4a32-815b-926d3d158fa9,0.1533
